,id,chartRating,type
167,/title/tt4269716/,8.5,tv
168,/title/tt0417349/,8.5,tv
169,/title/tt0080306/,8.5,tv
170,/title/tt1870479/,8.5,tv
171,/title/tt5189670/,8.5,tv
172,/title/tt11301642/,8.5,tv
173,/title/tt6111552/,8.5,tv
174,/title/tt12004706/,8.5,tv
175,/title/tt7562112/,8.5,tv
176,/title/tt12451520/,8.5,tv
177,/title/tt0094525/,8.5,tv
178,/title/tt0187664/,8.5,tv
179,/title/tt0229889/,8.5,tv
180,/title/tt0118273/,8.5,tv
181,/title/tt0088509/,8.5,tv
182,/title/tt5288312/,8.5,tv
183,/title/tt0086831/,8.5,tv
184,/title/tt1489428/,8.5,tv
185,/title/tt0275137/,8.5,tv
186,/title/tt0280249/,8.5,tv
187,/title/tt0112159/,8.5,tv
188,/title/tt4093826/,8.5,tv
189,/title/tt0423731/,8.5,tv
190,/title/tt9566030/,8.5,tv
191,/title/tt0979432/,8.5,tv
192,/title/tt1305826/,8.5,tv
193,/title/tt0096657/,8.5,tv
194,/title/tt0421357/,8.5,tv
195,/title/tt0264700/,8.5,tv
196,/title/tt0120570/,8.5,tv
197,/title/tt0863046/,8.5,tv
198,/title/tt4647692/,8.5,tv
199,/title/tt0094517/,8.5,tv
200,/title/tt1877368/,8.5,tv
201,/title/tt0062550/,8.5,tv
202,/title/tt4295140/,8.5,tv
203,/title/tt0426719/,8.5,tv
204,/title/tt4082744/,8.5,tv
205,/title/tt1494191/,8.5,tv
206,/title/tt2100976/,8.5,tv
207,/title/tt9561862/,8.5,tv
208,/title/tt1586680/,8.5,tv
209,/title/tt0237123/,8.5,tv
210,/title/tt0436992/,8.5,tv
211,/title/tt0487831/,8.5,tv
212,/title/tt4158110/,8.5,tv
213,/title/tt0047708/,8.5,tv
214,/title/tt0988824/,8.5,tv
215,/title/tt2701582/,8.5,tv
216,/title/tt6958022/,8.5,tv
217,/title/tt0995832/,8.5,tv
218,/title/tt1492966/,8.5,tv
219,/title/tt0106028/,8.5,tv
220,/title/tt5897304/,8.5,tv
221,/title/tt0315008/,8.5,tv
222,/title/tt2575988/,8.5,tv
223,/title/tt2401256/,8.5,tv
224,/title/tt0163507/,8.5,tv
225,/title/tt0129690/,8.5,tv
226,/title/tt3920596/,8.5,tv
227,/title/tt7278862/,8.5,tv
228,/title/tt1758429/,8.5,tv
229,/title/tt2243973/,8.5,tv
230,/title/tt3895150/,8.5,tv
231,/title/tt5425186/,8.5,tv
232,/title/tt0290978/,8.5,tv
233,/title/tt6077448/,8.5,tv
234,/title/tt1534360/,8.5,tv
235,/title/tt1124373/,8.5,tv
236,/title/tt7908628/,8.5,tv
237,/title/tt0118266/,8.5,tv
238,/title/tt5249462/,8.5,tv
239,/title/tt9398466/,8.5,tv
240,/title/tt0262150/,8.5,tv
241,/title/tt4236770/,8.5,tv
242,/title/tt0472027/,8.5,tv
243,/title/tt1442449/,8.5,tv
244,/title/tt0417373/,8.4,tv
245,/title/tt0988818/,8.4,tv
246,/title/tt7658402/,8.4,tv
247,/title/tt0278238/,8.4,tv
248,/title/tt3230854/,8.4,tv
249,/title/tt1298820/,8.4,tv
