,id,chartRating,type,title_id,title
93,/title/tt2106476/,8.3,movie,tt2106476,The Hunt
94,/title/tt0338013/,8.3,movie,tt0338013,Eternal Sunshine of the Spotless Mind
95,/title/tt0033467/,8.3,movie,tt0033467,Citizen Kane
96,/title/tt5074352/,8.3,movie,tt5074352,Dangal
97,/title/tt0093058/,8.2,movie,tt0093058,Full Metal Jacket
98,/title/tt0040522/,8.2,movie,tt0040522,Bicycle Thieves
99,/title/tt0045152/,8.2,movie,tt0045152,Singin' in the Rain
100,/title/tt0012349/,8.2,movie,tt0012349,The Kid
101,/title/tt0208092/,8.2,movie,tt0208092,Snatch
102,/title/tt0053125/,8.2,movie,tt0053125,North by Northwest
103,/title/tt0066921/,8.2,movie,tt0066921,A Clockwork Orange
104,/title/tt0086250/,8.2,movie,tt0086250,Scarface
105,/title/tt8579674/,8.2,movie,tt8579674,1917
106,/title/tt0091251/,8.2,movie,tt0091251,Come and See
107,/title/tt0044741/,8.2,movie,tt0044741,Ikiru
108,/title/tt0075314/,8.2,movie,tt0075314,Taxi Driver
109,/title/tt0435761/,8.2,movie,tt0435761,Toy Story 3
110,/title/tt1255953/,8.2,movie,tt1255953,Incendies
111,/title/tt0056172/,8.2,movie,tt0056172,Lawrence of Arabia
112,/title/tt1832382/,8.2,movie,tt1832382,A Separation
113,/title/tt0211915/,8.2,movie,tt0211915,Amélie
114,/title/tt0070735/,8.2,movie,tt0070735,The Sting
115,/title/tt0017136/,8.2,movie,tt0017136,Metropolis
116,/title/tt0059578/,8.2,movie,tt0059578,For a Few Dollars More
117,/title/tt0053604/,8.2,movie,tt0053604,The Apartment
118,/title/tt0036775/,8.2,movie,tt0036775,Double Indemnity
119,/title/tt0056592/,8.2,movie,tt0056592,To Kill a Mockingbird
120,/title/tt1049413/,8.2,movie,tt1049413,Up
121,/title/tt0097576/,8.2,movie,tt0097576,Indiana Jones and the Last Crusade
122,/title/tt0113277/,8.2,movie,tt0113277,Heat
123,/title/tt0119488/,8.2,movie,tt0119488,L.A. Confidential
124,/title/tt0095016/,8.2,movie,tt0095016,Die Hard
