,id,chartRating,type,title_id
0,/title/tt0111161/,9.2,movie,tt0111161
1,/title/tt0068646/,9.1,movie,tt0068646
2,/title/tt0071562/,9.0,movie,tt0071562
3,/title/tt0468569/,9.0,movie,tt0468569
4,/title/tt0050083/,8.9,movie,tt0050083
5,/title/tt0108052/,8.9,movie,tt0108052
6,/title/tt0167260/,8.9,movie,tt0167260
7,/title/tt0110912/,8.8,movie,tt0110912
8,/title/tt0060196/,8.8,movie,tt0060196
9,/title/tt0120737/,8.8,movie,tt0120737
10,/title/tt0137523/,8.8,movie,tt0137523
11,/title/tt0109830/,8.8,movie,tt0109830
12,/title/tt1375666/,8.7,movie,tt1375666
13,/title/tt0167261/,8.7,movie,tt0167261
14,/title/tt0080684/,8.7,movie,tt0080684
15,/title/tt0133093/,8.6,movie,tt0133093
16,/title/tt0099685/,8.6,movie,tt0099685
17,/title/tt0073486/,8.6,movie,tt0073486
18,/title/tt0047478/,8.6,movie,tt0047478
19,/title/tt0114369/,8.6,movie,tt0114369
20,/title/tt0118799/,8.6,movie,tt0118799
21,/title/tt0317248/,8.6,movie,tt0317248
22,/title/tt0102926/,8.6,movie,tt0102926
23,/title/tt0038650/,8.6,movie,tt0038650
24,/title/tt0076759/,8.6,movie,tt0076759
25,/title/tt0120815/,8.6,movie,tt0120815
26,/title/tt0120689/,8.5,movie,tt0120689
27,/title/tt0245429/,8.5,movie,tt0245429
28,/title/tt0816692/,8.5,movie,tt0816692
29,/title/tt6751668/,8.5,movie,tt6751668
30,/title/tt0110413/,8.5,movie,tt0110413
31,/title/tt0056058/,8.5,movie,tt0056058
32,/title/tt0114814/,8.5,movie,tt0114814
33,/title/tt0110357/,8.5,movie,tt0110357
34,/title/tt0253474/,8.5,movie,tt0253474
35,/title/tt0088763/,8.5,movie,tt0088763
36,/title/tt0103064/,8.5,movie,tt0103064
37,/title/tt0120586/,8.5,movie,tt0120586
38,/title/tt0027977/,8.5,movie,tt0027977
39,/title/tt0172495/,8.5,movie,tt0172495
40,/title/tt0054215/,8.5,movie,tt0054215
41,/title/tt0407887/,8.5,movie,tt0407887
42,/title/tt0021749/,8.5,movie,tt0021749
43,/title/tt1675434/,8.5,movie,tt1675434
44,/title/tt2582802/,8.5,movie,tt2582802
45,/title/tt0095327/,8.5,movie,tt0095327
46,/title/tt0482571/,8.5,movie,tt0482571
47,/title/tt0064116/,8.4,movie,tt0064116
48,/title/tt0034583/,8.4,movie,tt0034583
49,/title/tt0095765/,8.4,movie,tt0095765
50,/title/tt0047396/,8.4,movie,tt0047396
51,/title/tt0078748/,8.4,movie,tt0078748
52,/title/tt0078788/,8.4,movie,tt0078788
53,/title/tt0209144/,8.4,movie,tt0209144
54,/title/tt0032553/,8.4,movie,tt0032553
55,/title/tt0082971/,8.4,movie,tt0082971
56,/title/tt8503618/,8.4,movie,tt8503618
57,/title/tt1853728/,8.4,movie,tt1853728
58,/title/tt0405094/,8.4,movie,tt0405094
59,/title/tt0050825/,8.4,movie,tt0050825
60,/title/tt7286456/,8.4,movie,tt7286456
61,/title/tt0910970/,8.4,movie,tt0910970
62,/title/tt0081505/,8.4,movie,tt0081505
63,/title/tt4154756/,8.4,movie,tt4154756
64,/title/tt0043014/,8.4,movie,tt0043014
65,/title/tt0051201/,8.4,movie,tt0051201
66,/title/tt0364569/,8.3,movie,tt0364569
67,/title/tt0119698/,8.3,movie,tt0119698
68,/title/tt4633694/,8.3,movie,tt4633694
69,/title/tt0057012/,8.3,movie,tt0057012
70,/title/tt1345836/,8.3,movie,tt1345836
71,/title/tt0087843/,8.3,movie,tt0087843
72,/title/tt5311514/,8.3,movie,tt5311514
73,/title/tt0090605/,8.3,movie,tt0090605
74,/title/tt2380307/,8.3,movie,tt2380307
75,/title/tt4154796/,8.3,movie,tt4154796
76,/title/tt0169547/,8.3,movie,tt0169547
77,/title/tt0112573/,8.3,movie,tt0112573
78,/title/tt8267604/,8.3,movie,tt8267604
79,/title/tt0082096/,8.3,movie,tt0082096
80,/title/tt1187043/,8.3,movie,tt1187043
81,/title/tt0114709/,8.3,movie,tt0114709
82,/title/tt0057565/,8.3,movie,tt0057565
83,/title/tt0086879/,8.3,movie,tt0086879
84,/title/tt0361748/,8.3,movie,tt0361748
85,/title/tt0086190/,8.3,movie,tt0086190
86,/title/tt0119217/,8.3,movie,tt0119217
